vehicle_reg_No,MYT_TIMESTAMP,longitude,latitude
WA9451M,2023-09-07T05:05:09,101.70916,2.74717
WA9451M,2023-09-07T05:05:35,101.710167,2.74618
WA9451M,2023-09-07T05:06:05,101.71151,2.74693
WA9451M,2023-09-07T05:06:35,101.712662,2.74803
WA9451M,2023-09-07T05:07:05,101.712662,2.7487
WA9451M,2023-09-07T05:07:35,101.71283,2.74838
WA9451M,2023-09-07T05:08:05,101.712662,2.74793
WA9451M,2023-09-07T05:08:35,101.711327,2.747
WA9451M,2023-09-07T05:09:05,101.710999,2.74608
WA9451M,2023-09-07T05:09:35,101.709831,2.74527
WA9451M,2023-09-07T05:10:05,101.708839,2.74718
WA9451M,2023-09-07T05:10:35,101.707497,2.74917
WA9451M,2023-09-07T05:11:10,101.705833,2.7513
WA9451M,2023-09-07T05:11:35,101.705658,2.75197
WA9451M,2023-09-07T05:12:35,101.705498,2.75215
WA9451M,2023-09-07T05:13:05,101.705658,2.75195
WA9451M,2023-09-07T05:14:05,101.705658,2.75207
WA9451M,2023-09-07T05:14:35,101.705658,2.752
WA9451M,2023-09-07T05:15:05,101.705658,2.75207
WA9451M,2023-09-07T05:15:35,101.705498,2.75215
WA9451M,2023-09-07T05:17:05,101.705833,2.75192
WA9451M,2023-09-07T05:21:05,101.705833,2.752
WA9451M,2023-09-07T05:21:35,101.705833,2.75202
WA9451M,2023-09-07T05:22:05,101.705833,2.75215
WA9451M,2023-09-07T05:22:35,101.705658,2.75218
WA9451M,2023-09-07T05:23:05,101.705833,2.75212
WA9451M,2023-09-07T05:23:35,101.705833,2.7521
WA9451M,2023-09-07T05:24:05,101.705833,2.75213
WA9451M,2023-09-07T05:24:35,101.705833,2.75212
WA9451M,2023-09-07T05:25:05,101.705833,2.75213
WA9451M,2023-09-07T05:26:05,101.705833,2.75225
WA9451M,2023-09-07T05:26:35,101.706009,2.75225
WA9451M,2023-09-07T05:27:05,101.706009,2.75223
WA9451M,2023-09-07T05:27:35,101.706009,2.75225
WA9451M,2023-09-07T05:28:05,101.706009,2.75225
WA9451M,2023-09-07T05:28:35,101.706009,2.75223
WA9451M,2023-09-07T05:29:05,101.706009,2.75222
WA9451M,2023-09-07T05:29:35,101.706169,2.7522
WA9451M,2023-09-07T05:30:05,101.706169,2.7522
WA9451M,2023-09-07T05:30:35,101.706169,2.75222
WA9451M,2023-09-07T05:31:05,101.705498,2.75193
WA9451M,2023-09-07T05:31:35,101.705498,2.7519
WA9451M,2023-09-07T05:32:05,101.705498,2.7519
WA9451M,2023-09-07T05:32:35,101.705498,2.75192
WA9451M,2023-09-07T05:33:05,101.705498,2.75192
WA9451M,2023-09-07T05:33:35,101.705498,2.75193
WA9451M,2023-09-07T05:34:05,101.705498,2.7519
WA9451M,2023-09-07T05:34:35,101.705498,2.7519
WA9451M,2023-09-07T05:35:05,101.705658,2.75193
WA9451M,2023-09-07T05:35:35,101.705658,2.75205
WA9451M,2023-09-07T05:36:05,101.705658,2.7519
WA9451M,2023-09-07T05:36:35,101.705658,2.75182
WA9451M,2023-09-07T05:37:05,101.705658,2.7518
WA9451M,2023-09-07T05:37:35,101.705658,2.7519
WA9451M,2023-09-07T05:38:05,101.705658,2.75193
WA9451M,2023-09-07T05:38:35,101.705658,2.75198
WA9451M,2023-09-07T05:39:05,101.705658,2.75195
WA9451M,2023-09-07T05:39:35,101.705658,2.75205
WA9451M,2023-09-07T05:40:05,101.705658,2.75203
WA9451M,2023-09-07T05:40:35,101.705658,2.75213
