vehicle_reg_No,MYT_TIMESTAMP,longitude,latitude
WB2225C,2023-09-12T17:35:23,101.711998,2.74825
WB2225C,2023-09-12T17:35:53,101.71167,2.74803
WB2225C,2023-09-12T17:36:23,101.711998,2.74785
WB2225C,2023-09-12T17:36:53,101.71183,2.74745
WB2225C,2023-09-12T17:37:23,101.710823,2.74657
WB2225C,2023-09-12T17:37:53,101.710503,2.74545
WB2225C,2023-09-12T17:38:23,101.709511,2.74613
WB2225C,2023-09-12T17:38:53,101.708328,2.74792
WB2225C,2023-09-12T17:39:53,101.705498,2.75163
WB2225C,2023-09-12T17:40:53,101.706009,2.75227
WB2225C,2023-09-12T17:41:23,101.706009,2.75227
WB2225C,2023-09-12T17:50:53,101.706009,2.75227
WB2225C,2023-09-12T17:51:23,101.706009,2.75225
WB2225C,2023-09-12T17:51:53,101.706169,2.75228
WB2225C,2023-09-12T17:52:23,101.706009,2.75232
WB2225C,2023-09-12T17:52:53,101.706169,2.7523
WB2225C,2023-09-12T17:53:23,101.706169,2.75237
WB2225C,2023-09-12T17:53:53,101.70649,2.75125
WB2225C,2023-09-12T17:54:53,101.709511,2.74692
WB2225C,2023-09-12T17:55:23,101.710999,2.74667
WB2225C,2023-09-12T17:55:53,101.712341,2.74767
WB2225C,2023-09-12T17:59:23,101.712502,2.74767
WB2225C,2023-09-12T17:59:53,101.711166,2.74695
WB2225C,2023-09-12T18:00:23,101.710823,2.74583
WB2225C,2023-09-12T18:00:53,101.709511,2.74618
WB2225C,2023-09-12T18:01:23,101.707832,2.74867
WB2225C,2023-09-12T18:01:53,101.706009,2.75115
WB2225C,2023-09-12T18:05:23,101.706169,2.7522
WB2225C,2023-09-12T18:05:53,101.706009,2.75187
WB2225C,2023-09-12T18:13:53,101.70649,2.75152
WB2225C,2023-09-12T18:14:53,101.70916,2.74737
WB2225C,2023-09-12T18:15:23,101.710503,2.7464
WB2225C,2023-09-12T18:15:53,101.712158,2.74748
WB2225C,2023-09-12T18:16:23,101.712502,2.74865
WB2225C,2023-09-12T18:18:53,101.712502,2.7477
WB2225C,2023-09-12T18:19:23,101.711327,2.74705
WB2225C,2023-09-12T18:19:53,101.710999,2.74597
WB2225C,2023-09-12T18:20:23,101.709671,2.7456
WB2225C,2023-09-12T18:20:53,101.708656,2.7475
WB2225C,2023-09-12T18:21:53,101.705833,2.75142
WB2225C,2023-09-12T18:23:23,101.706009,2.75218
WB2225C,2023-09-12T18:23:53,101.706009,2.75223
WB2225C,2023-09-12T18:24:23,101.706009,2.75222
WB2225C,2023-09-12T18:24:53,101.706169,2.75225
WB2225C,2023-09-12T18:26:23,101.706009,2.75178
WB2225C,2023-09-12T18:37:22,101.706329,2.75222
WB2225C,2023-09-12T18:37:52,101.706329,2.75218
WB2225C,2023-09-12T18:38:22,101.706329,2.75227
WB2225C,2023-09-12T18:38:52,101.706673,2.75122
WB2225C,2023-09-12T18:39:52,101.70916,2.74728
WB2225C,2023-09-12T18:40:22,101.710663,2.74643
WB2225C,2023-09-12T18:41:22,101.712502,2.74865
WB2225C,2023-09-12T18:41:52,101.713333,2.74873
WB2225C,2023-09-12T18:42:22,101.712341,2.74758
WB2225C,2023-09-12T18:42:52,101.712158,2.74748
WB2225C,2023-09-12T18:43:22,101.712341,2.74767
WB2225C,2023-09-12T18:43:52,101.712662,2.7484
WB2225C,2023-09-12T18:44:22,101.712662,2.74847
WB2225C,2023-09-12T18:44:52,101.712662,2.74848
WB2225C,2023-09-12T18:45:22,101.71283,2.7485
WB2225C,2023-09-12T18:45:52,101.71283,2.7485
WB2225C,2023-09-12T18:46:22,101.71283,2.74852
WB2225C,2023-09-12T18:46:52,101.71283,2.74852
WB2225C,2023-09-12T18:47:22,101.71283,2.74852
WB2225C,2023-09-12T18:47:52,101.71283,2.7483
WB2225C,2023-09-12T18:48:22,101.71183,2.74722
WB2225C,2023-09-12T18:48:52,101.711166,2.74613
WB2225C,2023-09-12T18:49:22,101.709831,2.7453
WB2225C,2023-09-12T18:49:52,101.708839,2.7472
WB2225C,2023-09-12T18:50:22,101.707336,2.74938
WB2225C,2023-09-12T18:50:52,101.706009,2.75128
WB2225C,2023-09-12T18:54:52,101.705833,2.75167
WB2225C,2023-09-12T18:55:22,101.705833,2.75158
WB2225C,2023-09-12T18:55:52,101.706009,2.75167
WB2225C,2023-09-12T18:56:22,101.706009,2.75167
WB2225C,2023-09-12T18:56:52,101.706009,2.7517
WB2225C,2023-09-12T18:57:22,101.705833,2.7516
WB2225C,2023-09-12T18:57:52,101.705833,2.75175
WB2225C,2023-09-12T18:58:22,101.705833,2.75188
WB2225C,2023-09-12T18:58:52,101.705833,2.75197
WB2225C,2023-09-12T18:59:22,101.705833,2.75192
WB2225C,2023-09-12T18:59:52,101.706009,2.75193
WB2225C,2023-09-12T19:00:22,101.70649,2.75205
WB2225C,2023-09-12T19:00:52,101.706841,2.75202
WB2225C,2023-09-12T19:01:22,101.707001,2.75198
WB2225C,2023-09-12T19:01:52,101.70649,2.75212
WB2225C,2023-09-12T19:02:22,101.70649,2.7513
WB2225C,2023-09-12T19:03:22,101.709343,2.74707
WB2225C,2023-09-12T19:03:52,101.710999,2.74665
WB2225C,2023-09-12T19:04:22,101.712502,2.74753
WB2225C,2023-09-12T19:04:52,101.712502,2.74872
WB2225C,2023-09-12T19:05:22,101.71283,2.74843
WB2225C,2023-09-12T19:05:52,101.712662,2.74818
WB2225C,2023-09-12T19:06:22,101.712662,2.74792
WB2225C,2023-09-12T19:06:52,101.71183,2.74722
WB2225C,2023-09-12T19:07:22,101.710999,2.74627
WB2225C,2023-09-12T19:07:52,101.709831,2.7453
WB2225C,2023-09-12T19:08:22,101.708839,2.74722
WB2225C,2023-09-12T19:08:52,101.706841,2.74958
WB2225C,2023-09-12T19:16:22,101.705498,2.75193
WB2225C,2023-09-12T19:16:52,101.705658,2.75178
WB2225C,2023-09-12T19:17:22,101.705833,2.7518
WB2225C,2023-09-12T19:17:52,101.706009,2.75167
WB2225C,2023-09-12T19:18:22,101.705833,2.7516
WB2225C,2023-09-12T19:18:52,101.705833,2.75167
WB2225C,2023-09-12T19:19:22,101.705833,2.7516
WB2225C,2023-09-12T19:19:52,101.706009,2.75178
WB2225C,2023-09-12T19:20:22,101.706009,2.75185
WB2225C,2023-09-12T19:20:52,101.706009,2.75195
WB2225C,2023-09-12T19:21:22,101.706169,2.752
WB2225C,2023-09-12T19:21:52,101.706009,2.7521
WB2225C,2023-09-12T19:22:22,101.706009,2.75217
WB2225C,2023-09-12T19:22:52,101.706009,2.75208
WB2225C,2023-09-12T19:23:22,101.706329,2.75173
WB2225C,2023-09-12T19:24:34,101.709991,2.74628
WB2225C,2023-09-12T19:24:52,101.710663,2.74637
WB2225C,2023-09-12T19:25:22,101.711998,2.74728
WB2225C,2023-09-12T19:25:52,101.712341,2.74857
WB2225C,2023-09-12T19:26:22,101.71283,2.74863
WB2225C,2023-09-12T19:26:52,101.712662,2.74847
WB2225C,2023-09-12T19:27:22,101.712662,2.74827
WB2225C,2023-09-12T19:27:52,101.712662,2.74818
WB2225C,2023-09-12T19:28:22,101.712502,2.74763
WB2225C,2023-09-12T19:28:52,101.711166,2.74685
WB2225C,2023-09-12T19:29:22,101.710823,2.74578
WB2225C,2023-09-12T19:29:52,101.709671,2.74592
WB2225C,2023-09-12T19:30:22,101.708504,2.7478
WB2225C,2023-09-12T19:30:52,101.707001,2.75027
WB2225C,2023-09-12T19:31:22,101.705498,2.75173
WB2225C,2023-09-12T19:41:52,101.705498,2.75197
WB2225C,2023-09-12T19:42:22,101.705658,2.75185
WB2225C,2023-09-12T19:42:52,101.705658,2.75188
WB2225C,2023-09-12T19:43:22,101.705658,2.75185
WB2225C,2023-09-12T19:43:52,101.705658,2.752
WB2225C,2023-09-12T19:44:22,101.705498,2.75223
WB2225C,2023-09-12T19:44:52,101.705658,2.75218
WB2225C,2023-09-12T19:45:22,101.705658,2.7519
WB2225C,2023-09-12T19:45:52,101.705833,2.75195
WB2225C,2023-09-12T19:46:22,101.705833,2.75202
WB2225C,2023-09-12T19:46:52,101.705833,2.75205
WB2225C,2023-09-12T19:47:22,101.705833,2.75207
WB2225C,2023-09-12T19:47:52,101.705833,2.75217
WB2225C,2023-09-12T19:48:22,101.705833,2.75218
WB2225C,2023-09-12T19:48:52,101.705833,2.75207
WB2225C,2023-09-12T19:49:22,101.705833,2.7521
WB2225C,2023-09-12T19:49:52,101.706009,2.75218
WB2225C,2023-09-12T19:50:22,101.706169,2.75212
WB2225C,2023-09-12T19:50:52,101.706329,2.75215
WB2225C,2023-09-12T19:51:22,101.706329,2.75217
WB2225C,2023-09-12T19:51:52,101.706329,2.75217
WB2225C,2023-09-12T19:52:22,101.70649,2.75218
WB2225C,2023-09-12T19:53:52,101.70649,2.75152
WB2225C,2023-09-12T19:54:22,101.707672,2.74918
WB2225C,2023-09-12T19:54:58,101.709671,2.7467
WB2225C,2023-09-12T19:55:22,101.710823,2.74653
WB2225C,2023-09-12T19:55:52,101.712341,2.74757
WB2225C,2023-09-12T19:56:22,101.712502,2.74872
WB2225C,2023-09-12T19:56:52,101.71283,2.74853
WB2225C,2023-09-12T19:57:22,101.712502,2.74835
WB2225C,2023-09-12T19:57:52,101.712502,2.7483
WB2225C,2023-09-12T19:58:22,101.712502,2.74827
WB2225C,2023-09-12T19:58:52,101.712502,2.74773
WB2225C,2023-09-12T19:59:22,101.71167,2.74728
WB2225C,2023-09-12T19:59:52,101.711166,2.74605
WB2225C,2023-09-12T20:00:22,101.709671,2.74558
WB2225C,2023-09-12T20:00:52,101.708839,2.74737
WB2225C,2023-09-12T20:01:52,101.705498,2.75167
WB2225C,2023-09-12T20:02:22,101.704491,2.75185
WB2225C,2023-09-12T20:02:52,101.704002,2.75148
WB2225C,2023-09-12T20:03:22,101.70417,2.75137
WB2225C,2023-09-12T20:03:52,101.70417,2.75137
WB2225C,2023-09-12T20:04:22,101.70417,2.75137
WB2225C,2023-09-12T20:04:52,101.70417,2.75138
WB2225C,2023-09-12T20:05:22,101.70417,2.75138
WB2225C,2023-09-12T20:05:52,101.70417,2.7514
WB2225C,2023-09-12T20:06:22,101.704002,2.7514
WB2225C,2023-09-12T20:06:52,101.704002,2.7514
WB2225C,2023-09-12T20:07:22,101.704002,2.7514
WB2225C,2023-09-12T20:07:52,101.704002,2.75138
WB2225C,2023-09-12T20:08:22,101.704002,2.75138
WB2225C,2023-09-12T20:08:52,101.704002,2.75138
WB2225C,2023-09-12T20:09:22,101.704002,2.7514
WB2225C,2023-09-12T20:09:52,101.704002,2.7514
WB2225C,2023-09-12T20:10:22,101.704002,2.7514
WB2225C,2023-09-12T20:10:52,101.704002,2.7514
WB2225C,2023-09-12T20:11:22,101.704002,2.7514
WB2225C,2023-09-12T20:11:52,101.704002,2.75142
WB2225C,2023-09-12T20:12:22,101.703163,2.75085
WB2225C,2023-09-12T20:12:52,101.702003,2.75025
WB2225C,2023-09-12T20:13:22,101.701843,2.75003
WB2225C,2023-09-12T20:13:52,101.702827,2.7506
WB2225C,2023-09-12T20:14:22,101.70417,2.75148
WB2225C,2023-09-12T20:23:22,101.706841,2.75193
WB2225C,2023-09-12T20:23:52,101.70649,2.75197
WB2225C,2023-09-12T20:24:22,101.706329,2.75185
WB2225C,2023-09-12T20:24:52,101.706169,2.75207
WB2225C,2023-09-12T20:25:22,101.706329,2.75202
WB2225C,2023-09-12T20:25:52,101.70649,2.75197
WB2225C,2023-09-12T20:26:22,101.707336,2.75028
WB2225C,2023-09-12T20:26:52,101.708839,2.74797
WB2225C,2023-09-12T20:27:22,101.710167,2.74627
WB2225C,2023-09-12T20:27:52,101.71167,2.74708
WB2225C,2023-09-12T20:31:22,101.710999,2.74637
WB2225C,2023-09-12T20:31:52,101.710503,2.74542
WB2225C,2023-09-12T20:32:22,101.709511,2.74625
WB2225C,2023-09-12T20:32:52,101.708168,2.74817
WB2225C,2023-09-12T20:33:22,101.706673,2.75037
WB2225C,2023-09-12T20:33:52,101.705498,2.75165
WB2225C,2023-09-12T20:45:22,101.706673,2.75122
WB2225C,2023-09-12T20:46:22,101.709343,2.74717
WB2225C,2023-09-12T20:46:52,101.710663,2.74643
WB2225C,2023-09-12T20:47:22,101.712158,2.74743
WB2225C,2023-09-12T20:47:52,101.712502,2.74868
WB2225C,2023-09-12T20:48:22,101.712662,2.7486
WB2225C,2023-09-12T20:48:52,101.712502,2.74835
WB2225C,2023-09-12T20:49:22,101.712662,2.7482
WB2225C,2023-09-12T20:49:52,101.712502,2.74817
WB2225C,2023-09-12T20:50:22,101.712502,2.74812
WB2225C,2023-09-12T20:50:52,101.711998,2.74745
WB2225C,2023-09-12T20:51:22,101.710999,2.74643
WB2225C,2023-09-12T20:51:52,101.710342,2.74533
WB2225C,2023-09-12T20:52:22,101.709343,2.74662
WB2225C,2023-09-12T20:52:52,101.707672,2.74898
WB2225C,2023-09-12T20:53:22,101.706009,2.75135
WB2225C,2023-09-12T20:53:52,101.705833,2.75198
WB2225C,2023-09-12T20:54:22,101.705833,2.75213
WB2225C,2023-09-12T20:54:52,101.705833,2.7522
WB2225C,2023-09-12T20:55:22,101.705833,2.7523
WB2225C,2023-09-12T20:55:52,101.705833,2.75232
WB2225C,2023-09-12T20:56:22,101.705833,2.75232
WB2225C,2023-09-12T20:56:52,101.705833,2.75228
WB2225C,2023-09-12T20:57:22,101.706009,2.75228
WB2225C,2023-09-12T20:57:52,101.706009,2.75225
WB2225C,2023-09-12T20:58:22,101.706009,2.75222
WB2225C,2023-09-12T20:58:52,101.706009,2.7523
WB2225C,2023-09-12T20:59:22,101.705498,2.75178
WB2225C,2023-09-12T20:59:52,101.705498,2.75212
WB2225C,2023-09-12T21:09:52,101.709671,2.74663
