vehicle_reg_No,longitude,latitude
WB8743F,101.705658,2.75185
WA9451M,101.705833,2.75198
WB654L,101.709343,2.747
WB3642M,101.705833,2.75225
WB8743F,101.705658,2.7519
WA9451M,101.705833,2.752
WB654L,101.711166,2.74678
WB3642M,101.705833,2.75233
WB2995B,101.705498,2.75168
WB8743F,101.705658,2.75195
WA9451M,101.705833,2.75203
WB654L,101.712662,2.74822
WB3642M,101.705833,2.75232
WB2995B,101.705658,2.75195
WB8743F,101.705833,2.75193
WA9451M,101.705658,2.75208
WB654L,101.71283,2.74862
WB3642M,101.705658,2.75237
WB2995B,101.705833,2.75193
WA9451M,101.705833,2.75212
WB8743F,101.705833,2.75187
WB654L,101.712997,2.74855
WB3642M,101.705833,2.7523
WB2995B,101.705833,2.75188
WB8743F,101.706009,2.75192
WA9451M,101.705833,2.7521
WB654L,101.712997,2.74848
WB3642M,101.705833,2.75243
WB2995B,101.705833,2.75195
WB8743F,101.706009,2.75193
WA9451M,101.705833,2.75218
WB654L,101.71283,2.74835
WB3642M,101.705658,2.75247
WB2995B,101.705833,2.75198
WB8743F,101.706009,2.75197
WA9451M,101.705833,2.75207
WB654L,101.712502,2.74803
WB3642M,101.705833,2.75248
WB2995B,101.705833,2.75198
WB8743F,101.705833,2.75208
WA9451M,101.705833,2.7522
WB654L,101.712158,2.7478
WB3642M,101.706009,2.75237
WB2995B,101.705833,2.75198
WB8743F,101.705833,2.75208
WA9451M,101.706009,2.75207
WB654L,101.712341,2.74782
WB3642M,101.706009,2.75233
WB2995B,101.706009,2.75198
WB8743F,101.706009,2.752
WA9451M,101.705833,2.75212
WB654L,101.711327,2.747
WB3642M,101.706009,2.75235
WB2995B,101.705833,2.75197
WB8743F,101.705833,2.75205
WA9451M,101.705833,2.75213
WB3642M,101.706169,2.75238
WB654L,101.710999,2.74593
WB2995B,101.705833,2.75198
WB8743F,101.706009,2.75207
WA9451M,101.706009,2.75225
WB654L,101.709671,2.74557
WB3642M,101.705658,2.7518
WB2995B,101.706009,2.7521
WB8743F,101.706009,2.7521
WA9451M,101.706169,2.75222
WB654L,101.708328,2.74793
WB3642M,101.705498,2.75193
WB2995B,101.706009,2.75205
WB8743F,101.706169,2.75212
WA9451M,101.706169,2.75225
WB654L,101.706329,2.75083
WB3642M,101.705658,2.7519
WB2995B,101.706009,2.75202
WB8743F,101.706329,2.75213
WB654L,101.705658,2.75187
WB3642M,101.705658,2.75182
WB2995B,101.706009,2.75203
WB8743F,101.706169,2.75205
WB654L,101.705833,2.75203
WB3642M,101.705498,2.75218
WB2995B,101.706009,2.75203
WB8743F,101.706169,2.75205
WB654L,101.705833,2.75198
WB2995B,101.706009,2.75207
WB8743F,101.706169,2.75202
WB654L,101.705833,2.75195
WB3642M,101.705658,2.75192
WB2995B,101.706009,2.7521
WB8743F,101.706009,2.75227
WB654L,101.706009,2.75202
WB3642M,101.705658,2.75218
WB2995B,101.706009,2.7519
WB8743F,101.70649,2.75145
WB654L,101.706009,2.75202
WB3642M,101.705833,2.75207
WB2995B,101.705498,2.75195
WB8743F,101.707832,2.74905
WB654L,101.706009,2.75212
WB3642M,101.705833,2.75213
WB2995B,101.705658,2.7519
WB8743F,101.70916,2.74735
WB654L,101.706009,2.75215
WA9451M,101.71167,2.74703
WB3642M,101.705833,2.75205
WB2995B,101.705658,2.7518
WB8743F,101.710167,2.74618
WA9451M,101.712502,2.74832
WB654L,101.706009,2.75215
WB3642M,101.706009,2.75198
WB2995B,101.705658,2.75178
WB8743F,101.71183,2.74717
WA9451M,101.712662,2.74845
WB654L,101.706009,2.75218
WB3642M,101.706009,2.752
WB2995B,101.705658,2.7517
WB8743F,101.712502,2.74842
WA9451M,101.712662,2.74822
WB654L,101.705833,2.7519
WB654L,101.705833,2.75188
WB654L,101.705833,2.75197
WB654L,101.705833,2.75197
WB654L,101.705833,2.75198
WB654L,101.705833,2.75197
WB654L,101.705833,2.7524
WB654L,101.705833,2.75208
WB654L,101.705833,2.75203
WB654L,101.705833,2.75222
WB654L,101.705833,2.7527
WB654L,101.705833,2.75232
WB654L,101.705833,2.752
WB654L,101.705833,2.75205
WB654L,101.705833,2.75218
WB654L,101.705833,2.75212
WB654L,101.705833,2.75228
WB654L,101.705833,2.75228
WB654L,101.705833,2.75193
WB654L,101.705833,2.75195
WB654L,101.705833,2.75203
WB654L,101.705833,2.75208
WB654L,101.705833,2.75217
WB654L,101.705833,2.75222
WB654L,101.705833,2.75235
WB654L,101.705833,2.75187
WB654L,101.705833,2.75195
WB654L,101.705833,2.75195
WB654L,101.715332,2.73778
WB654L,101.709991,2.74632
WB654L,101.709991,2.74522
WB654L,101.707336,2.74935
WB654L,101.707497,2.7491
WB654L,101.707497,2.74912
WB654L,101.707497,2.74945
WB654L,101.705498,2.75198
WB654L,101.705498,2.75195
WB654L,101.705498,2.75178
WB654L,101.705498,2.75175
WB654L,101.705498,2.75253
WB654L,101.705498,2.7519
WB654L,101.705498,2.75182
WB654L,101.705498,2.75187
WB654L,101.705498,2.75177
WB654L,101.705498,2.752
WB654L,101.705498,2.752
WB654L,101.705498,2.75202
WB654L,101.705498,2.75202
WB654L,101.705498,2.75202
WB654L,101.705498,2.752
WB654L,101.705498,2.75195
